Document type,Open Access,Number,Authors countries,Authors,Title,Journal title,Volume,Pages,Year,Beamline(s),Facility used,Proposal number,DOI,DOI added,WoS Number,Type,Facility repository
Journal article,,ESRF03RI1132,Hungary,"Ribárik G., Ungár T., Gubicza J.",MWP-fit: A program for multiple whole-profile fitting of diffraction peak profiles by ab initio theoretical functions,Journal of Applied Crystallography,34,669-676,2001.0,BM16,ESRF (Grenoble),,,10.1107/S0021889801011451,WOS:000171203700020,2,ESRF
Journal article,,ESRF01RI1191,Italy,"Ricchiardi G., Damin A., Bordiga S., Lamberti C., Spano G., Rivetti F., Zecchina A.",Vibrational structure of titanium silicate catalysts. A spectroscopic and theoretical study,Journal of the American Chemical Society,123,11409-11419,2001.0,BM8,,,10.1021/ja010607v,,WOS:000172240100012,2,ESRF
Journal article,,ESRF01RI1076,France (not ESRF),"Rieutord F., Eymery J., Fournel F., Buttard D., Oeser R., Plantevin O., Moriceau H., Aspar B.",High-energy X-ray reflectivity of buried interfaces created by wafer bonding,Physical Review B,63,125408-1-125408-5,2001.0,BM32,ESRF (Grenoble),,10.1103/PhysRevB.63.125408,,WOS:000167806600116,2,ESRF
Article from Conference in a Book,,ESRF06RI1593,France (not ESRF),"Rieutord F., Eymery J., Plantevin O., Bataillou B., Buttard D., Fournel F.",Investigations of buried interfaces using high energy X-ray reflectivity,Materials Research Society Symposium Proceedings,678,EE9.9.1-EE9.9.5,2001.0,BM32,ESRF (Grenoble),,,,,2,ESRF
Journal article,,ESRF02RI1277,France (not ESRF),"Rigacci A., Ehrburger-Dolle F., Geissler E., Chevalier B., Sallee H., Achard P., Barbieri O., Berthon S., Bley F., Livet F., Pajonk G.M., Pinto N., Rochas C.",Investigation of the multi-scale structure of silica aerogels by SAXS,Journal of Non-Crystalline Solids,285,187-193,2001.0,BM2A,ESRF (Grenoble),,10.1016/S0022-3093(01)00452-5,,WOS:000169410800030,2,ESRF
Article from Conference in a Journal,,ESRF03RI1314,Belgium/Germany/The Netherlands,"Rink I., Rostam-Khani P., Knoth J., Schwenke H., De Gendt S., Wortelboer R.",Calibration of straight total reflection X-ray fluorescence spectrometry - Results of a European Round Robin test,Spectrochimica Acta B,56,2283-2292,2001.0,,ESRF (Grenoble),,10.1016/S0584-8547(01)00297-X,,WOS:000172711200033,2,ESRF
Journal article,,ESRF01RI1204,Germany,"Ritley K.A., Krause B., Schreiber F., Dosch H.",A portable ultrahigh vacuum organic molecular beam deposition system for in situ X-ray diffraction measurements,Review of Scientific Instruments,72,1453-1457,2001.0,ID10B,ESRF (Grenoble),,,10.1063/1.1336822,WOS:000166688500036,2,ESRF
Journal article,,ESRF02RO1651,USA,"Roberts S.A., Weichsel A., Qiu Y., Shelnutt J.A., Walker F.A., Montfort W.R.",Ligand-induced heme ruffling and bent NO geometry in ultra-high-resolution structures of nitrophorin 4,Biochemistry,40,11327-11337,2001.0,BM1A,ESRF (Grenoble)/NSLS (Brookhaven),,10.1021/bi0109257,,WOS:000171205300005,2,ESRF
Journal article,,ESRF03RO1315,Italy/Latvia,"Rocca F., Ferrari M., Kuzmin A., Daldosso N., Duverger C., Monti F.",EXAFS studies of the local structure of Er3+ ions in silica xerogels co-doped with aluminium,Journal of Non-Crystalline Solids,293-295,112-117,2001.0,BM8,ESRF (Grenoble),,10.1016/S0022-3093(01)00660-3,,WOS:000171974400017,2,ESRF
Journal article,,ESRF02RO1180,Russia/Switzerland,"Roessli B., Staub U., Amato A., Herlach D., Pattison P., Sablina K., Petrakovskii G.A.",Magnetic phase transitions in the double spin-chains compound LiCu2O2,Physica B,296,306-311,2001.0,BM1B,ESRF (Grenoble),,10.1016/S0921-4526(00)00574-3,,WOS:000168007900002,2,ESRF
Journal article,,ESRF01RO1079,Germany,Röhlsberger R.,Vibrational spectroscopy of thin films and nanostructures by inelastic nuclear resonant scattering,Journal of Physics Condensed Matter,13,7659-7677,2001.0,ID18,ESRF (Grenoble),,10.1088/0953-8984/13/34/312,,WOS:000170857400013,2,ESRF
Journal article,,ESRF02RO1388,Norway,"Rønning M., Gjervan T., Prestvik R., Nicholson D.G., Holmen A.",Influence of pretreatment temperature on the bimetallic interactions in Pt-Re/Al2O3 reforming catalysts studied by X-ray absorption spectroscopy,Journal of Catalysis,204,292-304,2001.0,BM1A,ESRF (Grenoble),,10.1006/jcat.2001.3399,,WOS:000172941100004,2,ESRF
Journal article,,ESRF02RO1386,Norway,"Rønning M., Nicholson D.G., Holmen A.",In situ EXAFS study of the bimetallic interaction in a rhenium-promoted alumina-supported cobalt Fischer-Tropsch catalyst,Catalysis Letters,72,141-146,2001.0,BM1A,ESRF (Grenoble),,10.1023/A:1009005808189,,WOS:000168848300003,2,ESRF
Article from Conference in a Journal,,ESRF01RO1077,France (not ESRF),"Rose J., Chauveteau G., Tabary R., Renard M., Omari A., Toulhoat H.",Zirconium speciation in lactate solutions and polyacrylate gels,Journal of Synchrotron Radiation,8,686-688,2001.0,BM32,ESRF (Grenoble),,10.1107/S0909049500014631,,WOS:000167298100199,2,ESRF
Article from Conference in a Journal,,ESRF05RO1328,France (not ESRF)/Slovakia,"Rosina M., Dubourdieu C., Audier M., Dooryhée E., Hodeau J.L., Weiss F., Fröhlich K.",Fine-structural characterisation of magnetic superlattices,Journal de Physique IV,11,Pr11-23-Pr11-27,2001.0,BM2A,ESRF (Grenoble),,10.1051/jp4:20011103,,WOS:000173904200004,2,ESRF
Journal article,,ESRF02RO1314,Italy,"Rossi Albertini V., Perfetti P., Ronci F., Reale P., Scrosati B.",In situ studies of electrodic materials in Li-ion cells upon cycling performed by very-high-energy X-ray diffraction,Applied Physics Letters,79,27-29,2001.0,ID15A_HEX,ESRF (Grenoble),,10.1063/1.1383058,,WOS:000169658800010,2,ESRF
Journal article,,ESRF02RO1635,France (not ESRF)/Switzerland,"Roux M., Marichal C., Paillaud J.L., Fernandez C., Baerlocher C., Chézeau J.M.","Structural investigation by multinuclear solid state NMR and X-ray diffraction of As-synthesized, dehydrated, and calcined AlPO4-SOD",Journal of Physical Chemistry B,105,9083-9092,2001.0,BM1A,ESRF (Grenoble),,10.1021/jp010723k,,WOS:000171214200010,2,ESRF
Journal article,,ESRF02RO1568,France (not ESRF),"Roux M., Sarret G., Pignot-Paintrand I., Fontecave M., Covès J.",Mobilization of selenite by Ralstonia metallidurans CH34,Applied and Environmental Microbiology,67,769-773,2001.0,BM32,ESRF (Grenoble),,10.1128/AEM.67.2.769-773.2001,,WOS:000166844600036,2,ESRF
Journal article,,ESRF01RY1119,Italy/Poland,"Rybicki J., Rybicka A., Witkowska A., Bergmanski G., Di Cicco A., Minicucci M., Mancini G.",The structure of lead-silicate glasses: Molecular dynamics and EXAFS studies,Journal of Physics Condensed Matter,13,9781-9797,2001.0,BM29,ESRF (Grenoble),,10.1088/0953-8984/13/43/309,,WOS:000172233300009,2,ESRF
Journal article,,ESRF02SA1732,Denmark/UK,"Sabini E., Wilson K.S., Danielsen S., Schuelein M., Davies G.J.","Oligosaccharide binding to family 11 xylanases: Both covalent intermediate and mutant product complexes display 2,5B conformations at the active centre",Acta Crystallographica D,57,1344-1347,2001.0,ID14-4,ESRF (Grenoble)/HASYLAB (Hambourg),,10.1107/S0907444901010873,,WOS:000170611200029,2,ESRF
Article from Conference in a Journal,,ESRF01SA1154,China/Italy,"Saini N.L., Agrestini S., Di Castro C., Wu Z., Bianconi A., Gozzi D., Balducci G., Battisti M., Marcelli A.",On the change of electronic states at the Fermi level by Ce doping in the intermetallic LaRu2,Journal of Alloys and Compounds,317-318,542-545,2001.0,BM29,ESRF (Grenoble),,10.1016/S0925-8388(00)01384-0,,WOS:000168157200104,2,ESRF
Journal article,,ESRF02SA1436,Italy/Japan,"Saini N.L., Bianconi A., Oyanagi H.",Evidence for critical lattice fluctuations in the high Tc cuprates,Journal of the Physical Society of Japan,70,2092-2097,2001.0,BM29/BM32,ESRF (Grenoble),,,10.1143/JPSJ.70.2092,WOS:000170077600039,2,ESRF
Article from Conference in a Journal,,ESRF01SA1217,Italy/Japan,"Saini N.L., Oyanagi H., Bianconi A.",Local lattice fluctuations and charge-stripe ordering in the high Tc superconductors,Physica C,357-360,117-120,2001.0,BM29,,,10.1016/S0921-4534(01)00179-4,,WOS:000170467400026,2,ESRF
Article from Conference in a Book,,ESRF04SA1080,Italy/Japan,"Saini N.L., Oyanagi H., Bianconi A.","Stripes, lattice distorsions and high Tc superconductivity",AIP Conference Proceedings,554,141-153,2001.0,BM29,ESRF (Grenoble),,10.1063/1.1363069,,,2,ESRF
Journal article,,ESRF02SA1435,Italy/Japan,"Saini N.L., Oyanagi H., Lanzara A., Di Castro D., Agrestini S., Bianconi A., Nakamura F., Fujita T.",Evidence for local lattice fluctuations as a response function of the charge stripe order in the La1.48Nd0.4Sr0.12CuO4 system,Physical Review B,64,132510-1-132510-4,2001.0,BM29,ESRF (Grenoble),,10.1103/PhysRevB.64.132510,,WOS:000171426700029,2,ESRF
Journal article,,ESRF02SA1764,Russia/UK,"Salimon A.I., Korsunsky A.M., Shelekhov E.V., Sviridova T.A., Kaloshkin D., Tcherdyntsev V.S., Baldokhin Y.V.",Crystallochemical aspects of solid state reactions in mechanically alloyed Al-Cu-Fe quasicrystalline powders,Acta Materialia,49,1821-1833,2001.0,BM16,ESRF (Grenoble),,10.1016/S1359-6454(01)00077-5,,WOS:000168963100014,2,ESRF
Journal article,,ESRF02SA1414,Hungary/Japan,"Samatey F.A., Imada K., Nagashima S., Vonderviszt F., Kumasaka T., Yamamoto M., Namba K.",Structure of the bacterial flagellar protofilament and implications for a switch for supercoiling,Nature,410,331-337,2001.0,ID14-3,ESRF (Grenoble),,10.1038/35066504,,WOS:000167464100039,2,ESRF
Journal article,,ESRF02SA1729,France (not ESRF)/USA,"Sanchez J.F., Hoh F., Strub M.P., Strub J.M., Van Dorsselaer A., Lehrer R., Ganz T., Chavanieu A., Calas B., Dumas C., Aumelas A.","Expression, purification, crystallization and preliminary X-ray analysis of the cathelicidin motif of the protegrin-3 precursor",Acta Crystallographica D,57,1677-1679,2001.0,BM30A,ESRF (Grenoble),,10.1107/S0907444901012598,,WOS:000171778400032,2,ESRF
Article from Conference in a Journal,,ESRF01SA1103,Spain,"Sánchez M.C., García J., Subías G., Blasco J., Proietti M.G.",Geometric local structure at the Mn site in charge-ordered mixed valence manganites,Journal of Synchrotron Radiation,8,904-906,2001.0,BM29,ESRF (Grenoble),,,10.1107/S0909049501000164,WOS:000167298100272,2,ESRF
Article from Conference in a Journal,,ESRF01SA1105,Spain,"Sánchez M.C., Subías G., Perez-Cacho J., García J., Blasco J.",Local structure and oxidation state of Mn and Ni atoms in LaNi1-xMnxO3+delta perovskites,Journal of Synchrotron Radiation,8,901-903,2001.0,ID26,ESRF (Grenoble),,,10.1107/S0909049501000152,WOS:000167298100271,2,ESRF
Journal article,,ESRF02SA1641,Belgium/France (not ESRF),"Sarret G., Vangronsveld J., Manceau A., Musso M., D'Haen J., Menthonnex J.J., Hazemann J.L.",Accumulation forms of Zn and Pb in Phaseolus vulgaris in the presence and absence of EDTA,Environmental Science and Technology,35,2854-2859,2001.0,BM32,ESRF (Grenoble),,10.1021/es000219d,,WOS:000169600100053,2,ESRF
Journal article,,ESRF03SA1320,France (not ESRF),"Sauter C., Lorber B., Théobald-Dietrich A., Giegé R.",Crystallogenesis in tRNA aminoacylation systems: How packing accounts for crystallization drawbacks with yeast aspartyl-tRNA,Journal of Crystal Growth,232,399-408,2001.0,ID14-4,ESRF (Grenoble),,10.1016/S0022-0248(01)01072-7,,WOS:000171042700049,2,ESRF
Article from Conference in a Book,,ESRF08SC1531,Italy,"Schaerf C., Graal Collaboration",The Graal beam at the ESRF: Results and prospects,,,,,BM7,ESRF (Grenoble),,,,,2,ESRF
Journal article,,ESRF02SC1318,France (not ESRF),"Schlegel M.L., Manceau A., Charlet L., Chateigner D., Hazemann J.L.",Sorption of metal ions on clay minerals. III. Nucleation and epitaxial growth of Zn phyllosilicate on the edges of hectorite,Geochimica et Cosmochimica Acta,65,4155-4170,2001.0,BM32,ESRF (Grenoble),,10.1016/S0016-7037(01)00700-1,,WOS:000172349700006,2,ESRF
Book chapter,,ESRF01SC1237,Germany,"Schloegl R., Knop-Gericke A., Haevecker M., Wild U., Frickel D., Ressler T., Jentoft R.E., Wienold J., Mestl G., Blume A., Timpe O., Uchida Y.",In situ analysis of metal-oxide systems used for selective oxidation catalysis: How essential is chemical complexity ?,Topics in Catalysis,15,219-228,2001.0,ID24,ESRF (Grenoble),,,,,2,ESRF
Journal article,,ESRF02SC1447,Germany/Israel,"Schluenzen F., Zarivach R., Harms J., Bashan A., Tocilj A., Albrecht R., Yonath A., Franceschi F.",Structural basis for the interaction of antibiotics with the peptidyl transferase centre in eubacteria,Nature,413,814-821,2001.0,ID14-2,ESRF (Grenoble),,10.1038/35101544,,WOS:000171750200038,2,ESRF
Journal article,,ESRF01SC1031,Germany,"Schmahl G., Rudolph D., Lengeler B., Schroer C.",Roentgenlinsen,Physikalische Blaetter,57,43-48,2001.0,ID22,ESRF (Grenoble),,,,,2,ESRF
Journal article,,ESRF03SC1307,Germany/Russia,"Schuessler-Langeheine C., Weschke E., Ott H., Grigoriev A.Y., Moeller A., Meier R., Mazumdar C., Kaindl G.",Magnetic effects in the band structure of ferromagnetic and antiferromagnetic lanthanide-metal films,Journal of Electron Spectroscopy and Related Phenomena,114-116,795-799,2001.0,ID10A,ESRF (Grenoble),,10.1016/S0368-2048(00)00316-9,,WOS:000167832700124,2,ESRF
Journal article,,ESRF01SC1078,Germany,Schülke W.,Electronic excitations investigated by inelastic X-ray scattering spectroscopy,Journal of Physics Condensed Matter,13,7557-7591,2001.0,ID16,ESRF (Grenoble),,10.1088/0953-8984/13/34/307,,WOS:000170857400008,2,ESRF
Journal article,,ESRF01SC1171,Denmark/Germany,"Schweitz K.O., Chevallier J., Bøttiger J., Matz W., Schell N.","Hardness in Ag/Ni, Au/Ni and Cu/Ni multilayers",Philosophical Magazine A,81,2021-2032,2001.0,BM20,ESRF (Grenoble),,,10.1080/01418610108216650,WOS:000170354500010,2,ESRF
Journal article,,ESRF02SE1701,UK,"Seavers P.R., Lewis R.J., Brannigan J.A., Verschueren K.H.G., Murshudov G.N., Wilkinson A.J.",Structure of the Bacillus cell fate determinant SpoIIAA in phosphorylated and unphosphorylated forms,Structure,9,605-614,2001.0,BM14/ID14,ESRF (Grenoble)/SRS (Daresbury),,10.1016/S0969-2126(01)00623-2,,WOS:000169766500006,2,ESRF
Journal article,,ESRF02SE1755,UK,"Seavers P.R., Lewis R.J., Brannigan J.A., Wilkinson A.J.",Crystallization and preliminary X-ray analysis of the sporulation factor SpoIIAA in its native and phosphorylated forms,Acta Crystallographica D,57,292-295,2001.0,ID14-2,ESRF (Grenoble)/SRS (Daresbury),,10.1107/S090744490001859X,,WOS:000166598300023,2,ESRF
Journal article,,ESRF06SE9138,Germany,"Seemann R., Herminghaus S., Jacobs K.",Dewetting patterns and molecular forces: A reconciliation,Physical Review Letters,86,5534-5537,2001.0,ID10B,ESRF (Grenoble),,10.1103/PhysRevLett.86.5534,,WOS:000169239500032,2,ESRF
Journal article,,ESRF04SE1817,Germany,"Seemann R., Herminghaus S., Jacobs K.",Gaining control of pattern formation of dewetting liquid films,Journal of Physics Condensed Matter,13,4925-4938,2001.0,ID10B,ESRF (Grenoble),,10.1088/0953-8984/13/21/319,,WOS:000169172900020,2,ESRF
Journal article,,ESRF03SE1074,Germany/Switzerland,"Seifert S., Kuenstler J.U., Gupta A., Funke H., Reich T., Pietzsch H.J., Alberto R., Johannsen B.",Reactivity of technetium(I) thioether carbonyl complexes towards histidine-an EXAFS study in solution,Inorganica Chimica Acta,322,79-86,2001.0,BM20,ESRF (Grenoble),,10.1016/S0020-1693(01)00544-8,,WOS:000171611400011,2,ESRF
Journal article,,ESRF08SE1671,Hungary/Russia,"Semenov V.G., Andreeva M.A., Irkaev S.M., Nagy D.L., Bottyán L., Deák L.",Application of Mössbauer grazing-incidence optics to nondestructive layer-by-layer analysis (energy and temporal representations),Bulletin of the Russian Academy of Sciences: Physics,65,1076-1079,2001.0,,ESRF (Grenoble),,,,,2,ESRF
Journal article,,ESRF01SE1109,France (not ESRF)/Germany,"Semon L., Boehme C., Billard I., Hennig C., Luetzenkirchen K., Reich T., Rossberg A., Rossini I., Wipff G.",Do perchlorate and triflate anions bind to the uranyl cation in an acidic aqueous medium ? A combined EXAFS and quantum mechanical investigation,ChemPhysChem,2,591-598,2001.0,BM20,ESRF (Grenoble),,10.1002/1439-7641(20011015)2:10<591::AID-CPHC591>3.0.CO;2-B,,WOS:000171654600005,2,ESRF
Journal article,,ESRF02SE1777,Russia,"Serebryanaya N.R., Blank V.D., Ivdenko V.A., Chernozatonskii L.A.",Pressure-induced superhard phase of C60,Solid State Communications,118,183-187,2001.0,ID30,ESRF (Grenoble),,10.1016/S0038-1098(01)00082-5,,WOS:000168301400004,2,ESRF
Journal article,,ESRF03SE1370,France (not ESRF),"Serre L., Peteira De Jesus K., Zelwer C., Bureaud N., Schoentgen F., Bénédetti H.","Crystal structures of YBHB and YBCL from Escherichia coli, two bacterial homologues to a Raf kinase inhibitor protein",Journal of Molecular Biology,310,617-634,2001.0,BM30A,ESRF (Grenoble),,10.1006/jmbi.2001.4784,,WOS:000169985100011,2,ESRF
Journal article,,ESRF03SE1100,Italy,"Servidori M., Cembali F., Milita S.",3D DuMond diagrams of multi-crystal Bragg-case synchrotron topography. I.Flat sample,Applied Physics A,73,75-82,2001.0,ID19,ESRF (Grenoble),,10.1007/s003390100843,,WOS:000169584100011,2,ESRF
Journal article,,ESRF03SE1211,Italy,"Servidori M., Cembali F., Milita S.",3D DuMond diagrams of multi-crystal Bragg-case synchrotron topography.II. Curved sample,Applied Physics A,73,83-90,2001.0,BM5/ID19,ESRF (Grenoble),,10.1007/s003390100842,,WOS:000169584100012,2,ESRF
Journal article,,ESRF01AS1185,UK,"Shankland N., David W.I.F., Shankland K., Kennedy A.R., Frampton C.S., Florence A.J.",Structural transformations in zopiclone,Chemical Communications,,2204-2205,2001.0,BM16,ESRF (Grenoble),,10.1039/b107075d,,WOS:000171867600019,2,ESRF
Journal article,,ESRF02SI1419,UK,"Sibanda B.L., Critchlow S.E., Begun J., Pei X.Y., Jackson S.P., Blundell T.L., Pellegrini L.",Crystal structure of an Xrcc4-DNA ligase IV complex,Nature Structural Biology,8,1015-1019,2001.0,ID14-4,ESRF (Grenoble),,10.1038/nsb725,,WOS:000172524300007,2,ESRF
Article from Conference in a Journal,,ESRF01SI1184,France (not ESRF),"Sicardy O., Touet I., Rieutord F., Eymery J.",Stress measurements in thin zirconia films at 300°C using synchrotron radiation,Journal of Neutron Research,9,263-272,2001.0,BM32,ESRF (Grenoble),,,10.1080/10238160108200151,,2,ESRF
Article from Conference in a Journal,,ESRF01SI1060,Japan,"Signorato R., Ishikawa T.",R&D on third generation multi-segmented piezoelectric bimorph mirror substrates at Spring-8,Nuclear Instruments and Methods in Physics Research A,467-468,271-274,2001.0,ID26/ID32_HX,ESRF (Grenoble),,10.1016/S0168-9002(01)00297-2,,WOS:000170900500064,2,ESRF
Journal article,,ESRF02SI1730,UK,"Singleton M.R., Scaife S., Raven N.D., Wigley D.B.","Crystallization and preliminary X-ray analysis of RecG, a replication-fork reversal helicase from Thermotoga maritima complexed with a three-way DNA junction",Acta Crystallographica D,57,1695-1696,2001.0,ID14-1,ESRF (Grenoble),,10.1107/S0907444901013105,,WOS:000171778400038,2,ESRF
Journal article,,ESRF02SI1631,UK,"Singleton M.R., Scaife S., Wigley D.B.",Structural analysis of DNA replication fork reversal by RecG,Cell,107,79-89,2001.0,BM14,ESRF (Grenoble),,10.1016/S0092-8674(01)00501-3,,WOS:000171453100011,2,ESRF
Article from Conference in a Journal,,ESRF01SI1067,Germany/USA,"Sinn H., Alp E.E., Alatas A., Barraza J., Bortel G., Burkel E., Shu D., Sturhahn W., Sutter J.P., Toellner T.S., Zhao J.",An inelastic X-ray spectrometer with 2.2 meV energy resolution,Nuclear Instruments and Methods in Physics Research A,467-468,1545-1548,2001.0,ID16,ESRF (Grenoble),,10.1016/S0168-9002(01)00755-0,,WOS:000171012800173,2,ESRF
Journal article,,ESRF03SI1081,Australia/Japan,"Siu K., Nikulin A.Y., Tamasaku K., Ishikawa T.",An application of phase retrieval X-ray diffractometry to refraction/small-angle scattering data,Journal of Physics D,34,2912-2917,2001.0,BM5,ESRF (Grenoble),,10.1088/0022-3727/34/18/326,,WOS:000171674800029,2,ESRF
Journal article,,ESRF06SI9063,Australia/Japan,"Siu K., Nikulin A.Y., Tamasaku K., Ishikawa T.",X-ray phase retrieval in high-resolution refraction data from amorphous materials,Applied Physics Letters,79,2112-2114,2001.0,BM5,ESRF (Grenoble),,10.1063/1.1407297,,WOS:000171015200061,2,ESRF
Journal article,,ESRF03SJ1103,Sweden,"Sjögren T., Hajdu J.",Structure of the bound dioxygen species in the cytochrome oxidase reaction of cytochrome cd1 nitrite reductase,Journal of Biological Chemistry,276,13072-13076,2001.0,ID14-2/ID14-3,ESRF (Grenoble),,,10.1074/jbc.M011312200,WOS:000168198600086,2,ESRF
Journal article,,ESRF03SJ1104,Sweden,"Sjögren T., Hajdu J.",The structure of an alternative form of Paracoccus pantotrophus cytochrome cd1 nitrite reductase,Journal of Biological Chemistry,276,29450-29455,2001.0,ID14-2,ESRF (Grenoble),,,10.1074/jbc.M103657200,WOS:000170346000107,2,ESRF
Journal article,,ESRF02SK1343,Denmark/Finland,"Skov L.K., Mirza O., Henriksen A., Potocki De Montalk G., Remaud-Siméon M., Sarcabal P., Willemot R.M., Monsan P., Gajhede M.","Amylosucrase, a glucan-synthesizing enzyme from the alpha-amylase family",Journal of Biological Chemistry,276,25273-25278,2001.0,BM14,ESRF (Grenoble),,,10.1074/jbc.M010998200,WOS:000169800700112,2,ESRF
Journal article,,ESRF03SO1144,France (not ESRF)/Germany,"Solà M., Kneussel M., Heck I.S., Betz H., Weissenhorn W.",X-ray crystal structure of the trimeric N-terminal domain of gephyrin,Journal of Biological Chemistry,276,25294-25301,2001.0,ID14-2,ESRF (Grenoble),,10.1074/jbc.M101923200,,WOS:000169800700115,2,ESRF
Journal article,,ESRF02SO1582,Germany,"Sondermann H., Scheufler C., Schneider C., Hoehfeld J., Hartl F.U., Moarefi I.",Structure of a Bag/Hsc70 complex: Convergent functional evolution of Hsp70 nucleotide exchange factors,Science,291,1553-1557,2001.0,ID14-4,ESRF (Grenoble),,10.1126/science.1057268,,WOS:000167153400047,2,ESRF
Journal article,,ESRF03SO1136,UK,"Song H., Hanlon N., Brown N.R., Noble M.E.M., Johnson L.N., Barford D.",Phosphoprotein-protein interactions revealed by the crystal structure of kinase-associated phosphatase in complex with phosphoCDK2,Molecular Cell,7,615-626,2001.0,ID14-1,ESRF (Grenoble),,10.1016/S1097-2765(01)00208-8,,WOS:000167966600016,2,ESRF
Journal article,,ESRF02SP1704,Italy/USA,"Spallarossa A., Donahue J.L., Larson T.J., Bolognesi M., Bordo D.",Escherichia coli GlpE Is a prototype sulfurtransferase for the single-domain rhodanese homology superfamily,Structure,9,1117-1125,2001.0,,ESRF (Grenoble)/HASYLAB (Hambourg),,10.1016/S0969-2126(01)00666-9,,WOS:000172132300012,2,ESRF
Journal article,,ESRF03SP1979,France (not ESRF)/The Netherlands,"Spinelli S., Tegoni M., Frenken L., Van Vliet C., Cambillau C.",Lateral recognition of a dye hapten by a llama VHH domain,Journal of Molecular Biology,311,123-129,2001.0,ID2,ESRF (Grenoble),,10.1006/jmbi.2001.4856,,WOS:000170326500010,2,ESRF
Journal article,,ESRF02ST1674,UK,"Stammers D.K., Ren J., Leslie K., Nichols C.E., Lamb H.K., Cocklin S., Dodds A., Hawkins A.R.",The structure of the negative transcriptional regulator NmrA reveals a structural superfamily which includes the short-chain dehydrogenase/reductases,EMBO Journal,20,6619-6626,2001.0,ID29,ESRF (Grenoble),,,10.1093/emboj/20.23.6619,WOS:000172629100007,2,ESRF
Journal article,,ESRF01ST1202,Austria/Germany,"Stangl J., Daniel A., Holý V., Roch T., Bauer G., Kegel I., Metzger T.H., Wiebach T., Schmidt O.G., Eberl K.",Strain and composition distribution in uncapped SiGe islands from X-ray diffraction,Applied Physics Letters,79,1474-1476,2001.0,ID10B,,,10.1063/1.1392975,,WOS:000170647200022,2,ESRF
Journal article,,ESRF01ST1107,France (not ESRF)/Switzerland,"Staub U., Zaharko O., Grimmer H., Horisberger M., d'Acapito F.",Real-part EXAFS from multilayer Bragg reflections: A promising new EXAFS technique,Europhysics Letters,56,241-246,2001.0,BM8,ESRF (Grenoble),,10.1209/epl/i2001-00512-5,,WOS:000171629500013,2,ESRF
Journal article,,ESRF02ST1675,France (not ESRF)/Germany,"Stehlin C., Wurtz J.M., Steinmetz A., Greiner E., Schuele R., Moras D., Renaud J.P.",X-ray structure of the orphan nuclear receptor RORß ligand-binding domain in the active conformation,EMBO Journal,20,5822-5831,2001.0,ID14-3,ESRF (Grenoble),,10.1093/emboj/20.21.5822,,WOS:000172104000002,2,ESRF
Journal article,,ESRF02ST1425,Sweden,"Stehr M., Schneider G., Aslund F., Holmgren A., Lindqvist Y.",Structural basis for the thioredoxin-like activity profile of the glutaredoxin-like NrdH-redoxin from Escherichia coli,Journal of Biological Chemistry,276,35836-35841,2001.0,BM14,ESRF (Grenoble),,,10.1074/jbc.M105094200,WOS:000171109300082,2,ESRF
Journal article,,ESRF01ST1097,The Netherlands/UK,"Steiner R.A., Rozeboom H.J., de Vries A., Kalk K.H., Murshudov G.N., Wilson K.S., Dijkstra B.W.",X-ray structure of bovine pancreatic phospholipase A2 at atomic resolution,Acta Crystallographica D,57,516-526,2001.0,BM14,ESRF (Grenoble),,10.1107/S0907444901002530,,WOS:000167663500006,2,ESRF
Journal article,,ESRF02ST1411,Switzerland/UK,"Stetefeld J., Jenny M., Schulthess T., Landwehr R., Schumacher B., Frank S., Rueegg M.A., Engel J., Kammerer R.A.",The laminin-binding domain of agrin is structurally related to N-TIMP-1,Nature Structural Biology,8,705-709,2001.0,BM1A/BM1B,ESRF (Grenoble),,10.1038/90422,,WOS:000170139500020,2,ESRF
Journal article,,ESRF03ST1292,Switzerland,"Steurer W., Cervellino A., Lemster K., Ortelli S., Estermann M.A.",Ordering principles in decagonal Al-Co-Ni quasicrystals,Chimia,55,528-533,2001.0,BM1A/BM1B,ESRF (Grenoble),,,10.2533/chimia.2001.528,WOS:000169735800010,2,ESRF
Journal article,,ESRF03ST1318,UK/USA,"Stevenson C.E.M., Mayer S.M., Delarbre L., Lawson D.M.",Crystal annealing-nothing to lose,Journal of Crystal Growth,232,629-637,2001.0,,ESRF (Grenoble)/HASYLAB (Hambourg)/SRS (Daresbury),,10.1016/S0022-0248(01)01138-1,,WOS:000171042700077,2,ESRF
Journal article,,ESRF03ST1985,Germany/Switzerland,"Strelkov S.V., Herrmann H., Geisler N., Lustig A., Ivaninskii S., Zimbelmann R., Burkhard P., Aebi U.",Divide-and-conquer crystallographic approach towards an atomic structure of intermediate filaments,Journal of Molecular Biology,306,773-781,2001.0,BM1A/BM1B,ESRF (Grenoble),,10.1006/jmbi.2001.4442,,WOS:000167406600012,2,ESRF
Journal article,,ESRF02ST1749,UK,"Sturrock S.S., Dryden D.T.F., Atanasiu C., Dornan J., Bruce S., Cronshaw A., Taylor P., Walkinshaw M.D.","Crystallization and preliminary X-ray analysis of ocr, the product of gene 0.3 of bacteriophage T7",Acta Crystallographica D,57,1652-1654,2001.0,BM30A,ESRF (Grenoble),,10.1107/S0907444901011623,,WOS:000171778400024,2,ESRF
